date,label,debit,credit,balance
2026-08-15,operation 1,0,26651,201455
2026-07-10,operation 2,18870,0,182585
2026-08-23,operation 3,5478,0,177107
2026-08-22,operation 4,4055,0,173052
2026-08-16,operation 5,0,18112,191164
2026-08-14,operation 6,0,16272,207436
2026-08-12,operation 7,0,28885,236321
2026-08-09,operation 8,0,26062,262383
2026-08-08,operation 9,0,94,262477
2026-07-11,operation 10,12093,0,250384
2026-07-07,operation 11,12165,0,238219
2026-08-09,operation 12,5820,0,232399
2026-08-04,operation 13,0,27486,259885
# fictional sandbox data
